,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Unnamed: 10,Unnamed: 11,Diff_coeff_filtering
139,61,20069.44,19.24,69,27777.78,19.24,0.88,-0.05,0.04,0.96,,,32.54513284585268
140,61,20069.44,19.24,89,30625.0,19.24,0.69,-0.16,0.11,0.89,,,17.492656177518217
141,61,20069.44,19.24,97,33611.11,19.24,0.63,-0.2,0.14,0.86,,,17.34468918018908
142,61,20069.44,19.24,101,36736.11,19.24,0.6,-0.22,0.15,0.85,,,19.08501490533732
143,61,20069.44,19.24,112,40000.0,19.24,0.54,-0.26,0.18,0.82,,,17.830814787016052
144,69,22500.0,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,,,18.439602399676644
145,69,22500.0,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,,,14.480448285418301
146,69,22500.0,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,,,9.870025451124832
147,69,22500.0,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,,,11.01841465471738
148,69,22500.0,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,,,15.846906734176672
149,69,22500.0,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,,,9.159636112378012
150,69,22500.0,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,,,10.671061836589212
151,69,22500.0,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,,,3.092764163943815
152,69,22500.0,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,,,12.871343152053305
153,69,22500.0,19.24,69,22500.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
154,69,22500.0,19.24,69,25069.44,19.24,1.0,0.0,0.0,1.0,,,-1.0
155,69,22500.0,19.24,69,27777.78,19.24,1.0,0.0,0.0,1.0,,,-1.0
156,69,22500.0,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,,,19.314488105502072
157,69,22500.0,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,,,18.6922030175336
158,69,22500.0,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,,,20.640787227019594
159,69,22500.0,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,,,18.87425992605187
160,69,25069.44,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,,,20.121586503192702
161,69,25069.44,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,,,16.637727349025678
162,69,25069.44,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,,,12.625702600262427
163,69,25069.44,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,,,14.258550919793077
164,69,25069.44,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,,,19.43659792092759
165,69,25069.44,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,,,14.272172936641246
166,69,25069.44,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,,,17.224149334852314
167,69,25069.44,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,,,13.403729728940647
168,69,25069.44,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,,,27.113800711237488
169,69,25069.44,19.24,69,22500.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
170,69,25069.44,19.24,69,25069.44,19.24,1.0,0.0,0.0,1.0,,,-1.0
171,69,25069.44,19.24,69,27777.78,19.24,1.0,0.0,0.0,1.0,,,-1.0
172,69,25069.44,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,,,8.469758661395652
173,69,25069.44,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,,,10.912450989250303
174,69,25069.44,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,,,14.848120296697829
175,69,25069.44,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,,,13.869665752693228
176,69,27777.78,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,,,21.542123430932634
177,69,27777.78,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,,,18.43961430131324
178,69,27777.78,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,,,14.903637993355616
179,69,27777.78,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,,,16.85248834770854
180,69,27777.78,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,,,22.15045537883003
181,69,27777.78,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,,,18.02704462252763
