,Unnamed: 0,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Diff_coeff_filtering
152,152,69,22500.0,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,0.3573687211902774
156,156,69,22500.0,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,0.5362605777165527
157,157,69,22500.0,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,0.5189830315058764
158,158,69,22500.0,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,0.5730848481421993
159,159,69,22500.0,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,0.5240377832759472
160,160,69,25069.44,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,0.5586694062941212
161,161,69,25069.44,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,0.4619411724164393
162,162,69,25069.44,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,0.3505485899243359
163,163,69,25069.44,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,0.3958841006752302
164,164,69,25069.44,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,0.5396509176420667
165,165,69,25069.44,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,0.3962623116112261
166,166,69,25069.44,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,0.4782229910795748
167,167,69,25069.44,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,0.3721502640264458
168,168,69,25069.44,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,0.7528059948613243
172,172,69,25069.44,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,0.2351601372021833
173,173,69,25069.44,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,0.3029807075307325
174,174,69,25069.44,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,0.4122533056438499
175,175,69,25069.44,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,0.3850868285324104
176,176,69,27777.78,19.24,21,5625.0,19.24,3.29,0.52,0.35,0.65,0.5981101592344233
177,177,69,27777.78,19.24,21,6944.44,19.24,3.29,0.52,0.35,0.65,0.5119699866793649
178,178,69,27777.78,19.24,21,8402.78,19.24,3.29,0.52,0.35,0.65,0.4137947367146903
179,179,69,27777.78,19.24,27,10000.0,19.24,2.56,0.41,0.28,0.72,0.4679039427780234
180,180,69,27777.78,19.24,37,11736.11,19.24,1.86,0.27,0.19,0.81,0.615000300978846
181,181,69,27777.78,19.24,37,13611.11,19.24,1.86,0.27,0.19,0.81,0.5005151216534116
182,182,69,27777.78,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,0.5996465336649709
183,183,69,27777.78,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,0.5456361099728876
184,184,69,27777.78,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,0.9036051924569104
188,188,69,27777.78,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,0.3235069091648851
189,189,69,27777.78,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,0.0319020646041081
190,190,69,27777.78,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,0.1817922691841981
191,191,69,27777.78,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,0.2016982987029132
192,192,89,30625.0,19.24,21,5625.0,19.24,4.24,0.63,0.43,0.57,0.5163618575135525
193,193,89,30625.0,19.24,21,6944.44,19.24,4.24,0.63,0.43,0.57,0.4289324021604429
194,194,89,30625.0,19.24,21,8402.78,19.24,4.24,0.63,0.43,0.57,0.3319336296233832
195,195,89,30625.0,19.24,27,10000.0,19.24,3.3,0.52,0.35,0.65,0.3655427728238817
196,196,89,30625.0,19.24,37,11736.11,19.24,2.41,0.38,0.26,0.74,0.4702701454945731
197,197,89,30625.0,19.24,37,13611.11,19.24,2.41,0.38,0.26,0.74,0.3544677158793425
198,198,89,30625.0,19.24,45,15625.0,19.24,1.98,0.3,0.2,0.8,0.4010137317118142
199,199,89,30625.0,19.24,48,17777.78,19.24,1.85,0.27,0.18,0.82,0.3198706875390554
200,200,89,30625.0,19.24,61,20069.44,19.24,1.46,0.16,0.11,0.89,0.4856779975898356
201,201,89,30625.0,19.24,69,22500.0,19.24,1.29,0.11,0.08,0.92,0.5362605777165519
202,202,89,30625.0,19.24,69,25069.44,19.24,1.29,0.11,0.08,0.92,0.2351601372021831
203,203,89,30625.0,19.24,69,27777.78,19.24,1.29,0.11,0.08,0.92,0.3235069091648858
205,205,89,30625.0,19.24,97,33611.11,19.24,0.92,-0.04,0.03,0.97,0.4630484020729785
206,206,89,30625.0,19.24,101,36736.11,19.24,0.88,-0.05,0.04,0.96,0.6372734677108827
207,207,89,30625.0,19.24,112,40000.0,19.24,0.79,-0.1,0.07,0.93,0.5100413229877608
208,208,97,33611.11,19.24,21,5625.0,19.24,4.62,0.66,0.45,0.55,0.5135415493568504
209,209,97,33611.11,19.24,21,6944.44,19.24,4.62,0.66,0.45,0.55,0.4309228202881148
210,210,97,33611.11,19.24,21,8402.78,19.24,4.62,0.66,0.45,0.55,0.3403321593711568
211,211,97,33611.11,19.24,27,10000.0,19.24,3.59,0.56,0.38,0.62,0.3727808942923095
212,212,97,33611.11,19.24,37,11736.11,19.24,2.62,0.42,0.29,0.71,0.4696301435989604
213,213,97,33611.11,19.24,37,13611.11,19.24,2.62,0.42,0.29,0.71,0.3652437693866854
214,214,97,33611.11,19.24,45,15625.0,19.24,2.16,0.33,0.23,0.77,0.4084029852261987
215,215,97,33611.11,19.24,48,17777.78,19.24,2.02,0.31,0.21,0.79,0.3398247708402798
216,216,97,33611.11,19.24,61,20069.44,19.24,1.59,0.2,0.14,0.86,0.4815697412882821
217,217,97,33611.11,19.24,69,22500.0,19.24,1.41,0.15,0.1,0.9,0.5189830315058764
218,218,97,33611.11,19.24,69,25069.44,19.24,1.41,0.15,0.1,0.9,0.3029807075307328
219,219,97,33611.11,19.24,69,27777.78,19.24,1.41,0.15,0.1,0.9,0.0319020646041083
220,220,97,33611.11,19.24,89,30625.0,19.24,1.09,0.04,0.03,0.97,0.4630484020729782
222,222,97,33611.11,19.24,101,36736.11,19.24,0.96,-0.02,0.01,0.99,0.8376281355718408
223,223,97,33611.11,19.24,112,40000.0,19.24,0.87,-0.06,0.04,0.96,0.535755546811663
224,224,101,36736.11,19.24,21,5625.0,19.24,4.81,0.68,0.47,0.53,0.5277197373697728
225,225,101,36736.11,19.24,21,6944.44,19.24,4.81,0.68,0.47,0.53,0.4503899643215449
226,226,101,36736.11,19.24,21,8402.78,19.24,4.81,0.68,0.47,0.53,0.3662527521641104
227,227,101,36736.11,19.24,27,10000.0,19.24,3.74,0.57,0.39,0.61,0.4006706403369612
228,228,101,36736.11,19.24,37,11736.11,19.24,2.73,0.44,0.3,0.7,0.4957894035137959
229,229,101,36736.11,19.24,37,13611.11,19.24,2.73,0.44,0.3,0.7,0.4023941340214908
230,230,101,36736.11,19.24,45,15625.0,19.24,2.24,0.35,0.24,0.76,0.4483620631783234
231,231,101,36736.11,19.24,48,17777.78,19.24,2.1,0.32,0.22,0.78,0.3931122199754267
232,232,101,36736.11,19.24,61,20069.44,19.24,1.66,0.22,0.15,0.85,0.529889327791697
